127.0.0.1 - - [18/Sep/2019:21:09:27 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [18/Sep/2019:21:09:30 +0900] "GET /template/ HTTP/1.1" 200 1687
0:0:0:0:0:0:0:1 - - [18/Sep/2019:21:09:32 +0900] "POST /template/HomeAction.action HTTP/1.1" 200 2168
0:0:0:0:0:0:0:1 - - [18/Sep/2019:21:09:38 +0900] "POST /template/LoginAction.action HTTP/1.1" 200 2684
0:0:0:0:0:0:0:1 - - [18/Sep/2019:21:13:11 +0900] "POST /template/BuyItemAction.action HTTP/1.1" 200 1891
0:0:0:0:0:0:0:1 - - [18/Sep/2019:21:13:13 +0900] "POST /template/BuyItemConfirmAction.action HTTP/1.1" 200 1459
0:0:0:0:0:0:0:1 - - [18/Sep/2019:21:13:15 +0900] "GET /template/MyPageAction.action HTTP/1.1" 200 2385
0:0:0:0:0:0:0:1 - - [18/Sep/2019:21:13:20 +0900] "POST /template/MyPageAction.action HTTP/1.1" 200 1582
0:0:0:0:0:0:0:1 - - [18/Sep/2019:21:13:21 +0900] "GET /template/HomeAction.action HTTP/1.1" 200 2168
0:0:0:0:0:0:0:1 - - [18/Sep/2019:21:18:43 +0900] "GET /template/UserCreateAction.action HTTP/1.1" 200 2114
0:0:0:0:0:0:0:1 - - [18/Sep/2019:21:18:58 +0900] "POST /template/UserCreateConfirmAction.action HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [18/Sep/2019:21:19:01 +0900] "POST /template/UserCreateCompleteAction.action HTTP/1.1" 200 1440
0:0:0:0:0:0:0:1 - - [18/Sep/2019:21:19:04 +0900] "GET /template/HomeAction.action HTTP/1.1" 200 2168
0:0:0:0:0:0:0:1 - - [18/Sep/2019:21:19:09 +0900] "POST /template/LoginAction.action HTTP/1.1" 200 2684
0:0:0:0:0:0:0:1 - - [18/Sep/2019:21:19:16 +0900] "POST /template/BuyItemAction.action HTTP/1.1" 200 1891
0:0:0:0:0:0:0:1 - - [18/Sep/2019:21:19:18 +0900] "POST /template/BuyItemConfirmAction.action HTTP/1.1" 200 1459
0:0:0:0:0:0:0:1 - - [18/Sep/2019:21:19:20 +0900] "GET /template/MyPageAction.action HTTP/1.1" 200 2385
0:0:0:0:0:0:0:1 - - [18/Sep/2019:21:19:22 +0900] "GET /template/HomeAction.action HTTP/1.1" 200 2168
0:0:0:0:0:0:0:1 - - [18/Sep/2019:21:19:29 +0900] "POST /template/LoginAction.action HTTP/1.1" 200 2684
0:0:0:0:0:0:0:1 - - [18/Sep/2019:21:19:36 +0900] "POST /template/BuyItemAction.action HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [18/Sep/2019:21:19:38 +0900] "POST /template/BuyItemConfirmAction.action HTTP/1.1" 200 1459
0:0:0:0:0:0:0:1 - - [18/Sep/2019:21:19:39 +0900] "GET /template/MyPageAction.action HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [18/Sep/2019:21:19:45 +0900] "POST /template/MyPageAction.action HTTP/1.1" 200 1582
0:0:0:0:0:0:0:1 - - [18/Sep/2019:21:19:48 +0900] "GET /template/HomeAction.action HTTP/1.1" 200 2168
